customer_id,partition
7590-VHVEG,train
5575-GNVDE,train
3668-QPYBK,train
7795-CFOCW,train
9237-HQITU,train
9305-CDSKC,train
1452-KIOVK,test
6713-OKOMC,test
7892-POOKP,train
6388-TABGU,test
9763-GRSKD,train
7469-LKBCI,train
8091-TTVAX,train
0280-XJGEX,train
5129-JLPIS,test
3655-SNQYZ,validation
8191-XWSZG,validation
9959-WOFKT,train
4190-MFLUW,test
4183-MYFRB,train
8779-QRDMV,train
1680-VDCWW,train
1066-JKSGK,train
3638-WEABW,train
6322-HRPFA,test
6865-JZNKO,validation
6467-CHFZW,train
8665-UTDHZ,train
5248-YGIJN,train
8773-HHUOZ,train
3841-NFECX,train
4929-XIHVW,train
6827-IEAUQ,validation
7310-EGVHZ,validation
3413-BMNZE,validation
6234-RAAPL,train
6047-YHPVI,test
6572-ADKRS,train
5380-WJKOV,test
8168-UQWWF,train
8865-TNMNX,train
9489-DEDVP,train
9867-JCZSP,train
4671-VJLCL,train
4080-IIARD,validation
3714-NTNFO,train
5948-UJZLF,train
7760-OYPDY,train
7639-LIAYI,train
2954-PIBKO,test
8012-SOUDQ,train
9420-LOJKX,test
6575-SUVOI,train
7495-OOKFY,test
4667-QONEA,train
1658-BYGOY,validation
8769-KKTPH,train
5067-XJQFU,validation
3957-SQXML,validation
5954-BDFSG,train
0434-CSFON,train
1215-FIGMP,train
0526-SXDJP,validation
0557-ASKVU,train
5698-BQJOH,test
5122-CYFXA,train
8627-ZYGSZ,validation
3410-YOQBQ,train
3170-NMYVV,validation
7410-OIEDU,train
2273-QCKXA,train
0731-EBJQB,train
1891-QRQSA,train
8028-PNXHQ,test
5630-AHZIL,test
2673-CXQEU,validation
6416-JNVRK,train
5590-ZSKRV,validation
0191-ZHSKZ,train
3887-PBQAO,train
5919-TMRGD,train
8108-UXRQN,validation
9191-MYQKX,validation
9919-YLNNG,train
0318-ZOPWS,train
4445-ZJNMU,test
4808-YNLEU,train
1862-QRWPE,test
2796-NNUFI,train
3016-KSVCP,train
4767-HZZHQ,validation
2424-WVHPL,train
7233-PAHHL,train
6067-NGCEU,train
9848-JQJTX,train
8637-XJIVR,train
9803-FTJCG,train
0278-YXOOG,train
3212-KXOCR,train
4598-XLKNJ,validation
6380-ARCEH,train
3679-XASPY,test
7123-WQUHX,validation
5386-THSLQ,train
3192-NQECA,validation
6180-YBIQI,validation
6728-DKUCO,train
9750-BOOHV,validation
8597-CWYHH,train
2848-YXSMW,train
0486-HECZI,test
4549-ZDQYY,validation
5712-AHQNN,validation
4846-WHAFZ,test
5256-SKJGO,train
3071-VBYPO,train
9560-BBZXK,train
5299-RULOA,train
8402-OOOHJ,train
9445-ZUEQE,train
1091-SOZGA,train
2928-HLDBA,train
0404-SWRVG,train
6497-TILVL,test
7219-TLZHO,train
4622-YNKIJ,train
4412-YLTKF,test
6734-PSBAW,validation
3930-ZGWVE,test
2639-UGMAZ,train
2876-GZYZC,train
6207-WIOLX,validation
8587-XYZSF,train
3091-FYHKI,train
2372-HWUHI,validation
7799-LGRDP,train
7850-VWJUU,train
3774-VBNXY,train
6217-KDYWC,train
0390-DCFDQ,test
3146-MSEGF,train
4080-OGPJL,validation
1095-WGNGG,train
2636-SJDOU,validation
1131-QQZEB,train
5716-EZXZN,train
6837-BJYDQ,train
2135-RXIHG,train
6440-DKQGE,validation
3466-BYAVD,train
3780-YVMFA,test
3874-EQOEP,train
1679-JRFBR,train
9073-ZZIAY,test
3077-RSNTJ,test
6551-GNYDG,validation
9167-APMXZ,test
2749-CTKAJ,train
6371-NZYEG,train
7554-NEWDD,train
8992-VONJD,train
0867-MKZVY,train
4482-EWFMI,train
4648-YPBTM,test
2907-ILJBN,test
6345-FZOQH,test
3376-BMGFE,validation
5997-OPVFA,validation
3445-HXXGF,train
1159-WFSGR,train
7654-YWJUF,test
1875-QIVME,validation
6727-IOTLZ,train
0691-JVSYA,train
5918-VUKWP,train
1744-JHKYS,test
2656-FMOKZ,train
2070-FNEXE,test
5947-SGKCL,train
3712-PKXZA,train
6317-YPKDH,test
6582-OIVSP,train
9367-WXLCH,validation
5524-KHNJP,test
1918-ZBFQJ,train
1024-GUALD,test
4827-USJHP,validation
8167-GJLRN,train
0956-SYCWG,validation
8017-UVSZU,train
7100-FQPRV,validation
2472-OVKUP,train
2984-RGEYA,test
9680-NIAUV,train
2146-EGVDT,train
2604-IJPDU,test
9178-JHUVJ,validation
6168-YBYNP,train
7255-SSFBC,train
3645-DEYGF,train
9323-HGFWY,train
8544-GOQSH,train
3363-DTIVD,train
7018-WBJNK,test
9142-KZXOP,train
7674-YTAFD,train
6348-SNFUS,train
1285-OKIPP,train
7825-ECJRF,train
1347-KTTTA,train
7841-TZDMQ,train
4195-NZGTA,train
7157-SMCFK,test
4709-LKHYG,test
2504-DSHIH,train
0699-NDKJM,validation
